,accX,accY,accZ,gyroX,gyroY,gyroZ
336,0.075378,-0.030579,0.983093,4.364014,12.47406,-23.651123
337,0.076355,-0.021057,0.980408,1.968384,12.863159,-26.100159
338,0.071533,-0.007996,1.003967,-0.404358,13.694763,-28.686523
339,0.059082,-0.004211,1.001831,-2.593994,14.343262,-31.196594
340,0.050537,-0.005615,0.993164,-4.692078,13.98468,-33.164978
341,0.044312,-0.011719,0.993347,-6.530762,12.924194,-34.828186
342,0.038452,-0.019165,0.996826,-8.529663,10.665894,-37.879944
343,0.03186,-0.02887,0.989319,-8.842468,9.307861,-39.337158
344,0.033142,-0.049438,0.974243,-8.834839,7.774353,-40.557861
345,0.036804,-0.057861,0.971069,-8.537292,6.210327,-41.854858
346,0.038208,-0.063232,0.969299,-8.087158,4.692078,-42.96875
347,0.044067,-0.063782,0.975952,-7.301331,2.952576,-43.571472
348,0.057739,-0.065613,0.974243,-5.981445,0.526428,-43.960571
349,0.073364,-0.067322,0.967041,-5.821228,0.091553,-43.922424
350,0.077271,-0.070251,0.96637,-5.79071,-0.038147,-43.891907
351,0.080811,-0.069763,0.963806,-5.638123,0.259399,-43.571472
352,0.081787,-0.074646,0.961914,-5.378723,0.518799,-43.235779
353,0.089966,-0.071472,0.963806,-5.332947,0.816345,-42.747498
354,0.098389,-0.077759,0.963745,-5.065918,1.441956,-42.304993
355,0.105896,-0.120667,0.940613,-2.624512,5.813599,-44.029236
356,0.094299,-0.078857,0.964844,-0.663757,7.598877,-45.204163
357,0.091797,-0.055603,0.99762,1.731873,7.156372,-42.694092
358,0.108093,-0.063599,0.937866,2.761841,8.239746,-41.923523
359,0.100342,-0.043091,0.952026,2.830505,9.773254,-42.167664
360,0.09198,-0.051514,0.976318,2.510071,10.398865,-41.557312
361,0.092896,-0.069702,0.986389,3.479004,10.688782,-40.924072
362,0.08728,-0.072998,0.981201,5.661011,11.573792,-40.94696
363,0.072144,-0.017151,0.948792,5.378723,11.657715,-40.847778
364,0.083313,-0.001099,0.997681,2.502441,9.95636,-40.390015
365,0.080627,-0.000977,1.024719,-0.495911,10.559082,-40.397644
366,0.019348,-0.104126,0.97644,6.797791,-8.087158,-89.042664
